figure_id,canonical_name,cluster,tier,include_status,humanoid_degree,ontology_default,involves_indigenous_knowledge,sensitivity_notes,alias_id,alias,alias_type,search_priority,notes
32,Min Min lights,excluded_control,excluded_control,exclude_core,non_humanoid,non_humanoid_control,0,"Phenomenon, not a figure; excluded from core.",40,Min Min lights,exact,0,
30,Ngatyi,excluded_control,excluded_control,exclude_core,non_humanoid,non_humanoid_control,1,Culturally central and non-humanoid; excluded from core searches.,38,Ngatyi,exact,0,
29,Rainbow Serpent,excluded_control,excluded_control,exclude_core,non_humanoid,non_humanoid_control,1,Culturally central and non-humanoid; excluded from core searches.,37,Rainbow Serpent,exact,0,
15,Doolaga,validation_queue,validation_queue,validate_before_include,unclear,unclear,1,Validation only; do not ingest as a core term without human review.,23,Doolaga,exact,10,
16,Dooligah,validation_queue,validation_queue,validate_before_include,unclear,unclear,1,Validation only; do not ingest as a core term without human review.,24,Dooligah,exact,10,
17,Douligah,validation_queue,validation_queue,validate_before_include,unclear,unclear,1,Validation only; do not ingest as a core term without human review.,25,Douligah,exact,10,
20,Ghindaring,validation_queue,validation_queue,validate_before_include,unclear,unclear,1,Validation only; do not ingest as a core term without human review.,28,Ghindaring,exact,10,
25,Jimbra,validation_queue,validation_queue,validate_before_include,unclear,unclear,1,Validation only; do not ingest as a core term without human review.,33,Jimbra,exact,10,
19,Joogabinna,validation_queue,validation_queue,validate_before_include,unclear,unclear,1,Validation only; do not ingest as a core term without human review.,27,Joogabinna,exact,10,
21,Jurrawarra,validation_queue,validation_queue,validate_before_include,unclear,unclear,1,Validation only; do not ingest as a core term without human review.,29,Jurrawarra,exact,10,
22,Myngawin,validation_queue,validation_queue,validate_before_include,unclear,unclear,1,Validation only; do not ingest as a core term without human review.,30,Myngawin,exact,10,
23,Noocoonah,validation_queue,validation_queue,validate_before_include,unclear,unclear,1,Validation only; do not ingest as a core term without human review.,31,Noocoonah,exact,10,
18,Thoolagal,validation_queue,validation_queue,validate_before_include,unclear,unclear,1,Validation only; do not ingest as a core term without human review.,26,Thoolagal,exact,10,
26,Tjangara,validation_queue,validation_queue,validate_before_include,unclear,unclear,1,Validation only; do not ingest as a core term without human review.,34,Tjangara,exact,10,
24,Wawee,validation_queue,validation_queue,validate_before_include,unclear,unclear,1,Validation only; do not ingest as a core term without human review.,32,Wawee,exact,10,
3,Hairy Man,yowie_yahoo_hairy_man,tier_1_core,include_v1,explicit_humanoid,cryptid_style_apeman,0,High noise as a generic descriptor; constrained searching required.,7,Hairy Man of the Wood,phrase,90,
3,Hairy Man,yowie_yahoo_hairy_man,tier_1_core,include_v1,explicit_humanoid,cryptid_style_apeman,0,High noise as a generic descriptor; constrained searching required.,6,Hairy Man,noise_sensitive,40,Never search bare; use constrained boolean forms only.
2,Yahoo,yowie_yahoo_hairy_man,tier_1_core,include_v1,explicit_humanoid,cryptid_style_apeman,0,Very high noise because of the later internet company and news/mail products.,5,Yahoo-devil-devil,exact,95,
2,Yahoo,yowie_yahoo_hairy_man,tier_1_core,include_v1,explicit_humanoid,cryptid_style_apeman,0,Very high noise because of the later internet company and news/mail products.,4,Yahoo,noise_sensitive,30,Never search bare; use constrained boolean forms only.
4,Yaroma,yowie_yahoo_hairy_man,tier_2_strong_candidate,include_v1,explicit_humanoid,spirit_being,1,Treat as public-text representation only; do not seek restricted knowledge.,8,Yaroma,exact,90,
1,Yowie,yowie_yahoo_hairy_man,tier_1_core,include_v1,explicit_humanoid,cryptid_style_apeman,0,"Modern public discourse often blends settler folklore, media, tourism, and Indigenous references; code mediation carefully.",1,Yowie,exact,100,
1,Yowie,yowie_yahoo_hairy_man,tier_1_core,include_v1,explicit_humanoid,cryptid_style_apeman,0,"Modern public discourse often blends settler folklore, media, tourism, and Indigenous references; code mediation carefully.",2,Australian ape,historical_descriptor,70,
1,Yowie,yowie_yahoo_hairy_man,tier_1_core,include_v1,explicit_humanoid,cryptid_style_apeman,0,"Modern public discourse often blends settler folklore, media, tourism, and Indigenous references; code mediation carefully.",3,Australian gorilla,historical_descriptor,70,
