overlay_id,source_table,source_row_id,title,target_state,target_locality,place_signal,display_label,map_display_status
maplead_174ce8ce373f0e20eda4e91b,release_lead_overlay_items,rellead_612e899ebb94423651b85f00,ANU Archives ACT 1955 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_4f0060614160d125372e9117,release_lead_overlay_items,rellead_10dfbafce9ccbd32f56ea884,ArchivesACT ACT 1955 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_1a661aa05ef3c4925493dcfd,release_lead_overlay_items,rellead_8b4e3b16444a6ac1b517b4de,ArchivesACT / ACT Memory ACT 1955 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_cb4dc52ddda470c088965427,release_lead_overlay_items,rellead_8415aa845d0d14eaa8ed4b6b,ACT Heritage Library ACT 1955 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_1f02c751deb4683eb54d1dbb,release_lead_overlay_items,rellead_838b638b4ddfb8466c6e2a4b,ACT Heritage Library ACT 1955 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_8dec2af1f126a82f91b50d72,release_lead_overlay_items,rellead_51b606cbcf5b2494637ad82f,ACT Heritage Register ACT 1956 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_5240e303f58921b5c563a0b7,release_lead_overlay_items,rellead_6f1b9d2c2c7f0857ce8744e9,ACT Heritage Register ACT 1956 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_75a755b02cd405590d7061c4,release_lead_overlay_items,rellead_3b7a690d64ffd37a1e18e710,National Capital Authority Heritage ACT 1956 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_7977cc8ea2ead6b6428f0421,release_lead_overlay_items,rellead_794559b8a15ea96a941a6974,National Trust ACT ACT 1956 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_a879c91a516642fcfeedfbbb,release_lead_overlay_items,rellead_151609b9788a79a964b9bc2b,National Trust ACT ACT 1956 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_c30cd828e6290d8fbea3f77e,release_lead_overlay_items,rellead_457894e44d72042d279cad70,ACT Memory ACT 1956 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_291d3dab513508e05b008d4f,release_lead_overlay_items,rellead_da8f0a12008aabfb8adda485,Canberra & District Historical Society ACT 1956 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_207cb02b6701be54263a2b1c,release_lead_overlay_items,rellead_870a816172779d2b0096b92e,Canberra & District Historical Society ACT 1956 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_d9b7364d886173a7a3ea1a3f,release_lead_overlay_items,rellead_62dc6c42596309c4cdabeca4,Canberra Museum and Gallery ACT 1956 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_4f54916751887994d6632c52,release_lead_overlay_items,rellead_024cf3421beaad93c5cac8bd,Canberra Museum and Gallery ACT 1956 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_2185867f556df412e150f3cd,release_lead_overlay_items,rellead_6e7982282bc7fe5724999dbe,ANU Archives ACT 1956 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_6fbd93cda0f87930a2c0fd96,release_lead_overlay_items,rellead_878f69b5394aec9feab7b63d,ANU Archives ACT 1956 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_cfa569147ede4d3a66b2fc43,release_lead_overlay_items,rellead_1255a939b8dab0c72a2776fa,ArchivesACT ACT 1956 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_35e68b71d04354cd45fb12ed,release_lead_overlay_items,rellead_23e6b52cc53a720679a0afad,ArchivesACT / ACT Memory ACT 1956 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_a5ee3530c759131bb4ba5d21,release_lead_overlay_items,rellead_d53d69b82e059d5d8479c6c9,ACT Heritage Library ACT 1956 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_166bfe2af78e950e9db790fb,release_lead_overlay_items,rellead_40b5bf08b1df634074300424,ACT Heritage Library ACT 1956 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_60d3c6aa047623b775983bbe,release_lead_overlay_items,rellead_7a019fe222493330f3acf6db,ACT Heritage Register ACT 1957 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_d6bcab27b22c23a8b4d0c4b3,release_lead_overlay_items,rellead_af173b1514d727a0809ebf1e,ACT Heritage Register ACT 1957 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_0448db8f88e80c613bdebb96,release_lead_overlay_items,rellead_9a81fab8903371cc1aac01dc,National Capital Authority Heritage ACT 1957 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_d2decb85cd7e110e2a77759b,release_lead_overlay_items,rellead_1f77d6866ebda64832f4bbc2,National Trust ACT ACT 1957 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_4ef3d5fed34b504545113d60,release_lead_overlay_items,rellead_84fa12566319ebf5a0838933,National Trust ACT ACT 1957 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_76e1a0debc9c860a398af768,release_lead_overlay_items,rellead_e7f860f10ef471f091d4664f,ACT Memory ACT 1957 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_cc18fbfab93645d45dbfe76e,release_lead_overlay_items,rellead_d73f025522c5d4c0181c502f,Canberra & District Historical Society ACT 1957 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_4aca5a40dfa45bdea53267fa,release_lead_overlay_items,rellead_01bf3eaa5b5e4bebf5b1f5fd,Canberra & District Historical Society ACT 1957 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_b1dacf3bd72255283ab0d62a,release_lead_overlay_items,rellead_2805913388459c29eae3ce6c,Canberra Museum and Gallery ACT 1957 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_d32b40216c7e2c120b71ff4f,release_lead_overlay_items,rellead_6a014bfb8312cdddf8833028,Canberra Museum and Gallery ACT 1957 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_b47436dddbcf6f1ef63415aa,release_lead_overlay_items,rellead_54ef8bae768d4fce9a718171,ANU Archives ACT 1957 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_02c9b22038c7b0e48d05f2ce,release_lead_overlay_items,rellead_297eb79d9662255bd6493aa8,ANU Archives ACT 1957 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_3bfb3c93e3eba6b4fd2059dd,release_lead_overlay_items,rellead_f5d1d633bc00ad6a6b0526c9,ArchivesACT ACT 1957 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_5eaca67c3400a04801f45533,release_lead_overlay_items,rellead_6dc6c5559539a50dd953f0ec,ArchivesACT / ACT Memory ACT 1957 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_837b61368077428f8632f0b3,release_lead_overlay_items,rellead_708880005d3c3296982e10d1,ACT Heritage Library ACT 1957 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_b3fc56ca69033956be84919d,release_lead_overlay_items,rellead_1a54a57c7bde69f2b4661334,ACT Heritage Library ACT 1957 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_3fca8f2b61206d8f19dabbed,release_lead_overlay_items,rellead_5a3d98fbc41440602d5a1d1c,ACT Heritage Register ACT 1958 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_c41c017747222e839b0afd9e,release_lead_overlay_items,rellead_a2747dd3d63b0c6883a3d556,ACT Heritage Register ACT 1958 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_d3b0fe06a98eb34a2b3df8b8,release_lead_overlay_items,rellead_30b6cc4fa1081b3b1e720026,National Capital Authority Heritage ACT 1958 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_2ec71e47a22815e5fc98b9d8,release_lead_overlay_items,rellead_76b076e0cd25e3d8eb827cac,National Trust ACT ACT 1958 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_c6fcf1ef57dfa5458956e618,release_lead_overlay_items,rellead_3d9a3269f588e53a2cc210cf,National Trust ACT ACT 1958 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_7d9322ca78cc749c4a605a52,release_lead_overlay_items,rellead_6dd6d9bba0ca678412e97c11,ACT Memory ACT 1958 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_17069fec94882eaca3814f74,release_lead_overlay_items,rellead_a6531aec8716966a7746055e,Canberra & District Historical Society ACT 1958 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_1cd0eb708a11bfde3c9dbb49,release_lead_overlay_items,rellead_c158828f6160f38ba3c05808,Canberra & District Historical Society ACT 1958 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_7b505b71ab152560e56d83e1,release_lead_overlay_items,rellead_ceb0c417520d4031025a1b56,Canberra Museum and Gallery ACT 1958 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_22fe27431c280e740cd7fe4c,release_lead_overlay_items,rellead_f78bea747b32af25305e5233,Canberra Museum and Gallery ACT 1958 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_c1d154d6c7507117e0fd8c9f,release_lead_overlay_items,rellead_674c1beaf895f4cefaf1a533,ANU Archives ACT 1958 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_47a8cf3196ae827e86a24577,release_lead_overlay_items,rellead_b951f997f32f9c8ff9d724e8,ANU Archives ACT 1958 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_bcd179c5914aedcd9e86f9c6,release_lead_overlay_items,rellead_a421b6778dbabd35821f5d19,ArchivesACT ACT 1958 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_a48b47ab4dba2a619ca6b7bc,release_lead_overlay_items,rellead_dfcbc44a3e6698584088da9d,ArchivesACT / ACT Memory ACT 1958 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_74f7bfa5b4b6701ef9dc081f,release_lead_overlay_items,rellead_58f77cadcb1dacc319501210,ACT Heritage Library ACT 1958 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_39e9dd80b5913cbb5b9a0e9f,release_lead_overlay_items,rellead_691eb72b5fc88849039e9f61,ACT Heritage Library ACT 1958 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_42d53bf4dbfeea4cdfd492c0,release_lead_overlay_items,rellead_285776594d7941cc8a690dbc,ACT Heritage Register ACT 1959 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_13f281a65f34a558d295b155,release_lead_overlay_items,rellead_2111498d4c83fb6c201913da,ACT Heritage Register ACT 1959 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_212a81e157a1c470b202a303,release_lead_overlay_items,rellead_537c8d661b25985f6287ebf1,National Capital Authority Heritage ACT 1959 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_f880c654076b4d4862f4b5ef,release_lead_overlay_items,rellead_d76c4388d2d9f31bc2c55fec,National Trust ACT ACT 1959 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_d38e22876f9378482e9fc284,release_lead_overlay_items,rellead_4e41d0067465c8d854802b4c,National Trust ACT ACT 1959 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_da3a8c5cc721398b7910d46d,release_lead_overlay_items,rellead_cfb6df5ac5a29147e9b22db0,ACT Memory ACT 1959 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_5472dfea83630990176e18a4,release_lead_overlay_items,rellead_2e9ba3bcf564c5c8fb07dd36,Canberra & District Historical Society ACT 1959 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_ff442ca2ee89e9d5db6c2769,release_lead_overlay_items,rellead_b9527e5d20a6a63dc6e4a2a0,Canberra & District Historical Society ACT 1959 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_67211c7c48274c011cf81ac7,release_lead_overlay_items,rellead_7c3a5fa42a4aebe675d1cdba,Canberra Museum and Gallery ACT 1959 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_090c16ce247a46d1fec9fdcd,release_lead_overlay_items,rellead_032421b5be41e15b4f513a0f,Canberra Museum and Gallery ACT 1959 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_6895359ccc09f264bc7bc0ac,release_lead_overlay_items,rellead_561e9bd0f13939d2c783066f,ANU Archives ACT 1959 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_81168425489ce05439801dea,release_lead_overlay_items,rellead_02868b92f6d931b5164136ce,ANU Archives ACT 1959 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_ce5bfe8255c42b185231cc17,release_lead_overlay_items,rellead_6a4b970d9f1cac13a762190b,ArchivesACT ACT 1959 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_c3e97736715b4f2f676897fe,release_lead_overlay_items,rellead_7bab07341e2b87a862406c25,ArchivesACT / ACT Memory ACT 1959 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_3f0f765dcebf95a47e3ed9c0,release_lead_overlay_items,rellead_dc7d60f99d3bca844bf1e696,ACT Heritage Library ACT 1959 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_5f7b2f4f62f40a232f301436,release_lead_overlay_items,rellead_dddccf130cf6b3131d6ad472,ACT Heritage Library ACT 1959 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_ff9d165340bfae07564e9e48,release_lead_overlay_items,rellead_13806ef7e1a075e0220bb10a,ACT Heritage Register ACT 1960 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_40a529112afd1d229faea56b,release_lead_overlay_items,rellead_a43ce81004c959b26c6f6335,ACT Heritage Register ACT 1960 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_5615ad49c7b25c5975530433,release_lead_overlay_items,rellead_40fe31c31e8317cb64323663,National Capital Authority Heritage ACT 1960 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_f5e5213b396bf8024b860bd2,release_lead_overlay_items,rellead_e8e539b7f37e3583ff0b9f06,National Trust ACT ACT 1960 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_0c3e48d1d691080869066a43,release_lead_overlay_items,rellead_b361adcabd49880ddfe96e36,National Trust ACT ACT 1960 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_5dd34d8d9c6b812f8be77bc0,release_lead_overlay_items,rellead_4c3eb2c3c2b2b72e3cd80858,ACT Memory ACT 1960 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_f5dbe2a15f726c33dc20f63c,release_lead_overlay_items,rellead_050c674e600050cbb1b676aa,Canberra & District Historical Society ACT 1960 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_e1d4d84bfbb1d055354c05a4,release_lead_overlay_items,rellead_13190353332bca3524505617,Canberra & District Historical Society ACT 1960 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_7085d126a85816dc8e84dd55,release_lead_overlay_items,rellead_4bcbbb4cbbbab294bd72ee9e,Canberra Museum and Gallery ACT 1960 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_5410aed2cbf8520aadb60515,release_lead_overlay_items,rellead_2e33d1f4b75fa352fdee718f,Canberra Museum and Gallery ACT 1960 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_f9a8aea8c60c2f7dce937a5f,release_lead_overlay_items,rellead_023578031ad4ed4b7908e9c0,ANU Archives ACT 1960 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_3b89837e2d067d1d4083e381,release_lead_overlay_items,rellead_c78af7aa5d99244bc87bf4e2,ANU Archives ACT 1960 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_9da63deb61421dbb3860d18b,release_lead_overlay_items,rellead_e515fac81ccecf75affc1a50,ArchivesACT ACT 1960 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_115532e7a27d51288d316255,release_lead_overlay_items,rellead_145c2aed172958658ec0de70,ArchivesACT / ACT Memory ACT 1960 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_00a65519350a5bcdffb8c802,release_lead_overlay_items,rellead_eba6111f623cb9f850a726d8,ACT Heritage Library ACT 1960 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_376465a17fc4c99bed7c9331,release_lead_overlay_items,rellead_1cce123b1d396fb3624ca852,ACT Heritage Library ACT 1960 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_72dd9710148beb3929b17c7c,release_lead_overlay_items,rellead_eb47334a08a1a69edbf1bfb2,ACT Heritage Register ACT 1961 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_e3eee218479ceb2d670569bf,release_lead_overlay_items,rellead_c8e155b65b67c08dec7edebe,ACT Heritage Register ACT 1961 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_1bdd0365d4267316ab474073,release_lead_overlay_items,rellead_b8e1af5ee30db949a088e001,National Capital Authority Heritage ACT 1961 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_06872e097461e24b04e96277,release_lead_overlay_items,rellead_db0317e1e7b1a819499a64b4,National Trust ACT ACT 1961 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_474a8d66f208ee9f6a9a563c,release_lead_overlay_items,rellead_290783ebdd0ffba07fe4ca27,National Trust ACT ACT 1961 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_5e7b83cdb30d59d168db4692,release_lead_overlay_items,rellead_59713f02c8db559b58020d53,ACT Memory ACT 1961 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_8284d8afb7655bfb90cf523a,release_lead_overlay_items,rellead_12f4e29550e87c99b758bb95,Canberra & District Historical Society ACT 1961 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_ff3ccbab6c0701b38b9e1ae5,release_lead_overlay_items,rellead_76b14f91d14265aa636e65aa,Canberra & District Historical Society ACT 1961 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_93893db79cec9e791e927f3d,release_lead_overlay_items,rellead_5b97386b2126f420bdece34c,Canberra Museum and Gallery ACT 1961 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_71681419b64350d3bf42e99d,release_lead_overlay_items,rellead_3c2c1be1fb43d35f28241478,Canberra Museum and Gallery ACT 1961 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_f09076f6f909f19b7f8d9a42,release_lead_overlay_items,rellead_c517302cea960f772b14a329,ANU Archives ACT 1961 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_ddb9dd31a089907e87a20210,release_lead_overlay_items,rellead_d987b17f5f1b30885a558dba,ANU Archives ACT 1961 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_21d6762003f26fabc6204337,release_lead_overlay_items,rellead_70c2fcafdeecc02c199c0fa1,ArchivesACT ACT 1961 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_d08f2551270d1fab6d6abe22,release_lead_overlay_items,rellead_bb3f6f3c2e39b373011553ac,ArchivesACT / ACT Memory ACT 1961 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_c0f59eb595decabd7fe6536f,release_lead_overlay_items,rellead_8df1653ef7bdb5ea8462a9bc,ACT Heritage Library ACT 1961 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_a1df4d6d8f17a2110936256a,release_lead_overlay_items,rellead_aba831c07470b1c4753f01b6,ACT Heritage Library ACT 1961 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_2867850582a5fd817a90b63e,release_lead_overlay_items,rellead_af136cc6ba9a4e57f2f844a5,ACT Heritage Register ACT 1962 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_9c4b0b94b14c0c1173082abc,release_lead_overlay_items,rellead_d651c478b1bb909ca437b9db,ACT Heritage Register ACT 1962 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_6e44f9ccc013b640b3e6b506,release_lead_overlay_items,rellead_b7225f1bc5a1ed875a64ad3c,National Capital Authority Heritage ACT 1962 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_56846eefa1c88d8ffa28c532,release_lead_overlay_items,rellead_5d442ade867b39e2733a8443,National Trust ACT ACT 1962 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_31521ce3c13b30235c33b864,release_lead_overlay_items,rellead_7b24eb8c0407846e67cde833,National Trust ACT ACT 1962 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_0836622b5b798c66cd44a6e0,release_lead_overlay_items,rellead_7c1b11efa3ea72e9670b5300,ACT Memory ACT 1962 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_6188bb6f842a062e95896dd9,release_lead_overlay_items,rellead_30a6d874b38fc6a98bb4ac9e,Canberra & District Historical Society ACT 1962 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_b5c9ef11e8197a6564df2a72,release_lead_overlay_items,rellead_4f503279124c4bcb25e0f48f,Canberra & District Historical Society ACT 1962 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_886cd2b14b8946807270aad8,release_lead_overlay_items,rellead_710458c0220349eb1188b263,Canberra Museum and Gallery ACT 1962 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_dc1c501819a9dc5c49e57625,release_lead_overlay_items,rellead_e3cff92bec27a290ccbc82ca,Canberra Museum and Gallery ACT 1962 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_035ae9462c686e2a5bb6e1b9,release_lead_overlay_items,rellead_14bbb910d0e671377398c202,ANU Archives ACT 1962 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_5128e7e14d92725f7630d7f1,release_lead_overlay_items,rellead_50d5974281ebe2f2f50cbc7d,ANU Archives ACT 1962 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_16a2f812a02d90a112a42ac1,release_lead_overlay_items,rellead_8e8ad75cc02dbd304be2e4e2,ArchivesACT ACT 1962 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_5db502f7d5d4ed23f579a919,release_lead_overlay_items,rellead_deda4c8b0707f84e2439f613,ArchivesACT / ACT Memory ACT 1962 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_5b8c9d07b46af615bfbe9e01,release_lead_overlay_items,rellead_6487f0c0dbb32ad0fb814fd5,ACT Heritage Library ACT 1962 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_9c506e3c6b2116cefe3583ed,release_lead_overlay_items,rellead_bcd0cc73ebe2905b385b4dce,ACT Heritage Library ACT 1962 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_64933185155a9da070eb5362,release_lead_overlay_items,rellead_9c17f3437f16ab21160661df,ACT Heritage Register ACT 1963 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_2bc5ea446605119b67d76b64,release_lead_overlay_items,rellead_a644128669af97667bcca2c4,ACT Heritage Register ACT 1963 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_54c160c9354d5d5cc1971200,release_lead_overlay_items,rellead_4d5597debf0db675168a5ab6,National Capital Authority Heritage ACT 1963 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_2bd6d4bb98e30c5b0b1048e6,release_lead_overlay_items,rellead_bda759d6c62e2c3ebec83959,National Trust ACT ACT 1963 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
