route_id,source_organisation,source_family,jurisdiction,status,processed,accepted,duplicates,leads,rejected,acceptance_rate,last_stop_reason,next_action
sprint_internet_archive_curr_australian_race_vol1_exact_text,Internet Archive,repository_full_text,SA/QLD,productive,23,21,0,2,1,0.9130,,Scale productive route
sprint_internet_archive_suttor_fishers_ghost_exact_section,Internet Archive,repository_full_text,NSW,low_yield,1,1,0,0,0,1.0000,,Keep as probe/discovery route only
sprint_internet_archive_suttor_australian_stories_retold_exact_text,Internet Archive,repository_full_text,NSW/TAS,productive,16,12,10,6,1,0.7500,,Scale productive route
sprint_internet_archive_swan_tales_australian_life_exact_text,Internet Archive,repository_full_text,VIC/NSW,productive,13,12,1,2,0,0.9231,,Scale productive route
sprint_internet_archive_ridley_kamilaroi_languages_exact_text,Internet Archive,repository_full_text,NSW/QLD,productive,24,23,7,0,1,0.9583,,Scale productive route
sprint_internet_archive_hill_thornton_notes_nsw_exact_text,Internet Archive,repository_full_text,NSW,productive,8,8,31,0,0,1.0000,,Scale productive route
sprint_internet_archive_nicolay_notes_wa_exact_text,Internet Archive,repository_full_text,WA,productive,8,8,3,0,0,1.0000,,Scale productive route
sprint_internet_archive_moore_wa_vocabulary_exact_text,Internet Archive,repository_full_text,WA,productive,17,17,13,0,0,1.0000,,Scale productive route
sprint_internet_archive_roth_garson_tasmania_1890_exact_text,Internet Archive,repository_full_text,TAS,productive,25,24,13,2,0,0.9600,,Scale productive route
sprint_internet_archive_roth_nq_burial_ceremonies_exact_article,Internet Archive,repository_full_text_article,QLD,productive,15,14,9,0,1,0.9333,,Scale productive route
sprint_internet_archive_miles_demigods_daemonia_exact_article,Internet Archive,repository_full_text_article,VIC/SA/NSW,productive,19,18,7,2,0,0.9474,,Scale productive route
sprint_internet_archive_lawson_joe_wilson_ghost_stories_exact_text,Internet Archive,repository_full_text,NSW/QLD,productive,28,27,14,2,0,0.9643,,Scale productive route
sprint_project_gutenberg_lawson_on_the_track_exact_text,Project Gutenberg,public_domain_ebook,NSW/QLD,productive,11,11,4,0,0,1.0000,,Scale productive route
sprint_project_gutenberg_lawson_children_of_the_bush_exact_text,Project Gutenberg,public_domain_ebook,NSW/QLD,productive,20,17,6,4,1,0.8500,,Scale productive route
sprint_sacred_texts_nw_wa_customs_traditions_exact_text,Internet Sacred Text Archive,public_domain_transcribed_book,WA,productive,12,12,6,0,0,1.0000,,Scale productive route
sprint_internet_archive_boothby_crime_under_seas_phantom_stockman_exact_text,Internet Archive,repository_full_text,QLD/NSW,productive,22,22,8,0,0,1.0000,,Scale productive route
sprint_internet_archive_nisbet_colonial_tramp_beliefs_exact_text,Internet Archive,repository_full_text,WA/SA/VIC,productive,12,11,5,0,1,0.9167,,Scale productive route
sprint_internet_archive_eden_fifth_continent_beliefs_exact_text,Internet Archive,repository_full_text,WA/NSW,low_yield,5,5,2,0,0,1.0000,,Keep as probe/discovery route only
sprint_pga_cambridge_at_midnight_haunted_house_exact_text,Project Gutenberg Australia,public_domain_ebook,VIC,productive,27,21,9,6,3,0.7778,,Scale productive route
sprint_pga_clarke_human_repetends_exact_text,Project Gutenberg Australia,public_domain_ebook,VIC,low_yield,4,3,1,0,1,0.7500,,Keep as probe/discovery route only
sprint_pga_clarke_australian_tales_exact_text,Project Gutenberg Australia,public_domain_ebook,VIC/NSW,productive,19,18,1,2,0,0.9474,,Scale productive route
sprint_pga_gaunt_moving_finger_trotting_cob_exact_text,Project Gutenberg Australia,public_domain_ebook,VIC/NSW,productive,18,17,5,0,1,0.9444,,Scale productive route
sprint_pga_dyson_below_and_on_top_mine_ghosts_exact_text,Project Gutenberg Australia,public_domain_ebook,VIC,productive,36,35,6,0,1,0.9722,,Scale productive route
sprint_pga_hume_cook_dandenongs_rescan_exact_texts,Project Gutenberg Australia,public_domain_ebook,VIC,low_yield,12,11,11,0,1,0.9167,route_cursor_exhausted,Keep as probe/discovery route only
sprint_project_gutenberg_westbury_australian_fairy_tales_rescan,Project Gutenberg,public_domain_ebook,VIC/NSW,low_yield,50,45,6,6,2,0.9000,route_cursor_exhausted,Keep as probe/discovery route only
sprint_project_gutenberg_robertson_australian_tales_rescan,Project Gutenberg,public_domain_ebook,QLD/NSW,low_yield,22,18,2,4,2,0.8182,route_cursor_exhausted,Keep as probe/discovery route only
sprint_project_gutenberg_barry_bunyip_stories_rescan,Project Gutenberg,public_domain_ebook,NSW,low_yield,25,19,1,4,4,0.7600,route_cursor_exhausted,Keep as probe/discovery route only
sprint_pga_dyson_below_and_on_top_rescan_02,Project Gutenberg Australia,public_domain_ebook,VIC,low_yield,26,21,56,2,4,0.8077,route_cursor_exhausted,Keep as probe/discovery route only
sprint_moreton_bay_deception_bay_recollect_ocr,City of Moreton Bay Libraries,municipal_local_history_ocr,QLD,low_yield,0,0,0,6,3,,route_candidate_limit_or_source_exhausted,Keep as probe/discovery route only
sprint_project_gutenberg_australian_legendary_tales_exact_text,Project Gutenberg,public_domain_ebook,NSW,productive,714,700,210,0,14,0.9804,,Scale productive route
sprint_project_gutenberg_lawson_while_billy_boils_exact_text,Project Gutenberg,public_domain_ebook,NSW,productive,18,17,1,0,1,0.9444,,Scale productive route
sprint_project_gutenberg_lawson_over_the_sliprails_exact_text,Project Gutenberg,public_domain_ebook,NSW,productive,17,15,3,2,1,0.8824,,Scale productive route
sprint_project_gutenberg_lawson_rising_of_the_court_exact_text,Project Gutenberg,public_domain_ebook,NSW,productive,19,17,10,2,1,0.8947,,Scale productive route
sprint_project_gutenberg_boldrewood_in_bad_company_exact_text,Project Gutenberg,public_domain_ebook,NSW/VIC,productive,26,24,1,0,2,0.9231,,Scale productive route
sprint_project_gutenberg_boldrewood_old_melbourne_memories_exact_text,Project Gutenberg,public_domain_ebook,VIC,productive,17,13,1,6,1,0.7647,,Scale productive route
sprint_project_gutenberg_boldrewood_robbery_under_arms_exact_text,Project Gutenberg,public_domain_ebook,NSW/VIC,productive,20,16,1,0,4,0.8000,,Scale productive route
sprint_project_gutenberg_boldrewood_last_chance_exact_text,Project Gutenberg,public_domain_ebook,WA,productive,30,24,2,0,6,0.8000,,Scale productive route
sprint_project_gutenberg_boldrewood_babes_in_bush_exact_text,Project Gutenberg,public_domain_ebook,NSW/VIC,productive,32,27,9,6,2,0.8438,,Scale productive route
sprint_project_gutenberg_boldrewood_nevermore_exact_text,Project Gutenberg,public_domain_ebook,NSW/VIC,productive,25,24,2,0,1,0.9600,,Scale productive route
sprint_project_gutenberg_boldrewood_shearing_riverina_exact_text,Project Gutenberg,public_domain_ebook,NSW,low_yield,5,4,0,0,1,0.8000,,Keep as probe/discovery route only
sprint_project_gutenberg_baynton_bush_studies_exact_text,Project Gutenberg,public_domain_ebook,NSW,productive,9,7,2,2,1,0.7778,,Scale productive route
sprint_project_gutenberg_steele_rudd_on_our_selection_exact_text,Project Gutenberg,public_domain_ebook,QLD,productive,9,8,0,0,1,0.8889,,Scale productive route
sprint_project_gutenberg_boldrewood_colonial_reformer_vol1_exact_text,Project Gutenberg,public_domain_ebook,NSW/VIC,productive,16,14,1,2,1,0.8750,,Scale productive route
sprint_project_gutenberg_boldrewood_colonial_reformer_vol2_exact_text,Project Gutenberg,public_domain_ebook,NSW/VIC,productive,17,13,1,2,3,0.7647,,Scale productive route
sprint_project_gutenberg_boldrewood_colonial_reformer_vol3_exact_text,Project Gutenberg,public_domain_ebook,NSW/VIC,productive,19,14,0,2,4,0.7368,,Scale productive route
sprint_slv_federicis_ghost_exact_page,State Library Victoria,institutional_history_article,VIC,productive,9,8,4,0,1,0.8889,,Scale productive route
sprint_slv_spooky_library_stories_exact_page,State Library Victoria,institutional_history_article,VIC,productive,14,10,0,0,4,0.7143,,Scale productive route
sprint_adelaide_arcade_history_ghost_exact_page,Adelaide Arcade,institutional_history_page,SA,low_yield,7,5,7,0,2,0.7143,,Keep as probe/discovery route only
sprint_project_gutenberg_lawson_days_world_wide_exact_text,Project Gutenberg,public_domain_ebook,NSW,productive,22,18,5,4,2,0.8182,,Scale productive route
sprint_project_gutenberg_steele_rudd_dashwoods_exact_text,Project Gutenberg,public_domain_ebook,QLD,productive,7,6,0,0,1,0.8571,,Scale productive route
sprint_project_gutenberg_boldrewood_plain_living_exact_text,Project Gutenberg,public_domain_ebook,NSW/VIC,productive,18,16,0,2,1,0.8889,,Scale productive route
sprint_project_gutenberg_clarke_natural_life_exact_text,Project Gutenberg,public_domain_ebook,TAS/VIC,productive,31,26,4,2,4,0.8387,,Scale productive route
sprint_project_gutenberg_boldrewood_crooked_stick_exact_text,Project Gutenberg,public_domain_ebook,NSW/VIC,productive,17,16,0,0,1,0.9412,,Scale productive route
sprint_project_gutenberg_hume_hansom_cab_exact_text,Project Gutenberg,public_domain_ebook,VIC,productive,23,17,11,6,3,0.7391,,Scale productive route
sprint_museums_victoria_history_probe,Museums Victoria,museum_collection_portal,VIC,low_yield,0,0,0,0,0,,probe_error:HTTPError,Keep as probe/discovery route only
sprint_geelong_heritage_place_first_probe,Geelong Regional Libraries,regional_heritage_portal,VIC,low_yield,0,0,0,0,0,,probe_error:HTTPError,Keep as probe/discovery route only
sprint_marion_heritage_probe,City of Marion,municipal_heritage_centre,SA,low_yield,0,0,0,0,0,,probe_directory_or_search_page_discovery_only,Keep as probe/discovery route only
sprint_libraries_tasmania_eheritage_probe,Libraries Tasmania,digital_heritage_portal,TAS,low_yield,5,0,0,5,0,0.0000,probe_directory_or_search_page_discovery_only,Keep as probe/discovery route only
sprint_act_heritage_library_probe,Libraries ACT,heritage_library_catalogue,ACT,low_yield,0,0,0,0,0,,probe_error:HTTPError,Keep as probe/discovery route only
sprint_anu_open_research_folklore_probe,Australian National University,repository_full_text,ACT/National,low_yield,0,0,0,0,0,,probe_error:RemoteDisconnected,Keep as probe/discovery route only
sprint_slv_catalogue_place_first_probe,State Library Victoria,state_library_catalogue,VIC,low_yield,0,0,0,0,0,,probe_directory_or_search_page_discovery_only,Keep as probe/discovery route only
sprint_prov_collection_place_first_probe,Public Record Office Victoria,state_archive_catalogue,VIC,low_yield,0,0,0,0,0,,probe_error:HTTPError,Keep as probe/discovery route only
sprint_slwa_battye_place_first_probe,State Library of Western Australia,state_library_catalogue,WA,low_yield,0,0,0,0,0,,probe_error:URLError,Keep as probe/discovery route only
sprint_wa_museum_maritime_place_first_probe,Western Australian Museum,museum_database,WA,low_yield,2,0,0,2,0,0.0000,probe_directory_or_search_page_discovery_only,Keep as probe/discovery route only
sprint_slsa_place_first_probe,State Library of South Australia,state_library_catalogue,SA,low_yield,30,0,0,30,0,0.0000,probe_directory_or_search_page_discovery_only,Keep as probe/discovery route only
sprint_state_records_sa_archivessearch_probe,State Records of South Australia,state_archive_catalogue,SA,low_yield,1,0,0,1,0,0.0000,probe_directory_or_search_page_discovery_only,Keep as probe/discovery route only
sprint_project_gutenberg_franklin_my_brilliant_career_exact_text,Project Gutenberg,public_domain_ebook,NSW,productive,23,19,1,2,3,0.8261,,Scale productive route
sprint_project_gutenberg_cambridge_thirty_years_australia_exact_text,Project Gutenberg,public_domain_ebook,VIC,productive,13,10,1,0,3,0.7692,,Scale productive route
sprint_project_gutenberg_cambridge_three_miss_kings_exact_text,Project Gutenberg,public_domain_ebook,VIC,productive,23,17,2,2,5,0.7391,,Scale productive route
sprint_project_gutenberg_cambridge_sisters_exact_text,Project Gutenberg,public_domain_ebook,VIC,productive,13,11,0,0,2,0.8462,,Scale productive route
sprint_project_gutenberg_dyson_gold_stealers_exact_text,Project Gutenberg,public_domain_ebook,VIC,productive,16,15,1,2,0,0.9375,,Scale productive route
sprint_project_gutenberg_dyson_roaring_fifties_exact_text,Project Gutenberg,public_domain_ebook,VIC,productive,21,18,2,2,2,0.8571,,Scale productive route
sprint_project_gutenberg_furphy_such_is_life_exact_text,Project Gutenberg,public_domain_ebook,NSW/VIC,productive,26,23,1,4,1,0.8846,,Scale productive route
sprint_project_gutenberg_franklin_some_everyday_folk_exact_text,Project Gutenberg,public_domain_ebook,NSW,productive,19,18,0,0,1,0.9474,,Scale productive route
sprint_project_gutenberg_hume_madame_midas_exact_text,Project Gutenberg,public_domain_ebook,VIC,productive,21,16,1,2,4,0.7619,,Scale productive route
sprint_project_gutenberg_richardson_australia_felix_exact_text,Project Gutenberg,public_domain_ebook,VIC,productive,33,26,0,2,6,0.7879,,Scale productive route
sprint_project_gutenberg_richardson_getting_wisdom_exact_text,Project Gutenberg,public_domain_ebook,VIC,productive,22,17,2,2,4,0.7727,,Scale productive route
sprint_project_gutenberg_turner_wonder_child_exact_text,Project Gutenberg,public_domain_ebook,NSW,productive,13,10,0,0,3,0.7692,,Scale productive route
sprint_internet_archive_more_australian_legendary_tales_exact_text,Internet Archive,repository_full_text,NSW,productive,17,16,2,2,0,0.9412,,Scale productive route
sprint_internet_archive_spencer_across_australia_vol1_exact_text,Internet Archive,repository_full_text,NT/SA/WA,productive,16,16,4,0,0,1.0000,,Scale productive route
sprint_internet_archive_mathews_notes_nsw_exact_text,Internet Archive,repository_full_text,NSW,low_yield,2,2,0,0,0,1.0000,,Keep as probe/discovery route only
sprint_internet_archive_calvert_aborigines_wa_exact_text,Internet Archive,repository_full_text,WA,low_yield,2,2,0,0,0,1.0000,,Keep as probe/discovery route only
sprint_internet_archive_calvert_wa_google_exact_text,Internet Archive,repository_full_text,WA,low_yield,2,2,0,0,0,1.0000,,Keep as probe/discovery route only
sprint_internet_archive_mathews_sociology_wa_exact_article,Internet Archive,repository_full_text_article,WA,low_yield,0,0,0,0,0,,route_cursor_exhausted,Keep as probe/discovery route only
sprint_internet_archive_spencer_across_australia_vol2_exact_text,Internet Archive,repository_full_text,NT/SA/WA,productive,17,16,5,2,0,0.9412,,Scale productive route
sprint_internet_archive_more_australian_legendary_tales_rescan_02,Internet Archive,repository_full_text,NSW,productive,29,21,28,8,4,0.7241,,Scale productive route
sprint_internet_archive_spencer_across_australia_vol1_rescan_02,Internet Archive,repository_full_text,NT/SA/WA,productive,11,11,21,0,0,1.0000,,Scale productive route
sprint_internet_archive_spencer_across_australia_vol2_rescan_02,Internet Archive,repository_full_text,NT/SA/WA,productive,68,67,34,2,0,0.9853,,Scale productive route
sprint_internet_archive_mathews_notes_nsw_rescan_02,Internet Archive,repository_full_text,NSW,low_yield,0,0,2,0,0,,route_cursor_exhausted,Keep as probe/discovery route only
sprint_internet_archive_calvert_wa_rescan_02,Internet Archive,repository_full_text,WA,low_yield,0,0,2,0,0,,route_cursor_exhausted,Keep as probe/discovery route only
sprint_internet_archive_dawson_victoria_rescan_02,Internet Archive,repository_full_text,VIC,productive,32,30,49,0,2,0.9375,,Scale productive route
sprint_internet_archive_smyth_victoria_vol1_rescan_02,Internet Archive,repository_full_text,VIC/TAS,productive,119,107,7,14,5,0.8992,,Scale productive route
sprint_internet_archive_northern_tribes_central_australia_rescan_02,Internet Archive,repository_full_text,NT,productive,87,87,34,0,0,1.0000,,Scale productive route
sprint_internet_archive_kamilaroi_kurnai_rescan_02,Internet Archive,repository_full_text,NSW/VIC,productive,32,32,53,0,0,1.0000,,Scale productive route
sprint_internet_archive_native_tribes_sa_rescan_02,Internet Archive,repository_full_text,SA,productive,31,30,32,2,0,0.9677,,Scale productive route
sprint_internet_archive_roth_queensland_rescan_02,Internet Archive,repository_full_text,QLD,productive,17,15,9,2,1,0.8824,,Scale productive route
sprint_internet_archive_smyth_victoria_vol2_rescan_02,Internet Archive,repository_full_text,VIC/TAS,productive,47,46,35,0,1,0.9787,,Scale productive route
sprint_internet_archive_eaglehawk_crow_rescan_02,Internet Archive,repository_full_text,AU,productive,17,17,31,0,0,1.0000,,Scale productive route
sprint_internet_archive_moore_wa_diary_rescan_02,Internet Archive,repository_full_text,WA,productive,38,32,16,2,5,0.8421,,Scale productive route
sprint_internet_archive_fraser_nsw_rescan_02,Internet Archive,repository_full_text,NSW,productive,68,66,43,0,2,0.9706,,Scale productive route
sprint_internet_archive_lang_queensland_rescan_02,Internet Archive,repository_full_text,QLD,productive,16,14,26,2,1,0.8750,,Scale productive route
sprint_internet_archive_booandik_sa_exact_text,Internet Archive,repository_full_text,SA,productive,40,38,5,0,2,0.9500,,Scale productive route
sprint_internet_archive_canberra_history_legends_exact_text,Internet Archive,repository_full_text,ACT,productive,8,7,1,0,1,0.8750,,Scale productive route
sprint_internet_archive_roth_tasmania_rescan_02,Internet Archive,repository_full_text,TAS,productive,48,46,40,4,0,0.9583,,Scale productive route
sprint_internet_archive_peck_australian_legends_rescan_02,Internet Archive,repository_full_text,AU,productive,60,58,29,0,2,0.9667,,Scale productive route
sprint_internet_archive_ridley_kamilaroi_rescan_02,Internet Archive,repository_full_text,NSW/QLD,productive,32,32,39,0,0,1.0000,,Scale productive route
sprint_internet_archive_native_tribes_nt_rescan_02,Internet Archive,repository_full_text,NT,productive,86,85,5,2,0,0.9884,,Scale productive route
sprint_mapfirst_gutenberg_clarke_natural_life_port_arthur,Project Gutenberg,public_domain_ebook,TAS,low_yield,3,3,2,0,0,1.0000,,Keep as probe/discovery route only
sprint_mapfirst_ia_suttor_fishers_ghost_campbelltown,Internet Archive,repository_full_text,NSW,low_yield,0,0,2,0,0,,route_cursor_exhausted,Keep as probe/discovery route only
sprint_mapfirst_gutenberg_australian_fairy_tales_blue_mountains,Project Gutenberg,public_domain_ebook,NSW,low_yield,2,1,0,0,1,0.5000,,Keep as probe/discovery route only
sprint_mapfirst_ia_lumholtz_herbert_river,Internet Archive,repository_full_text,QLD,productive,7,6,13,2,0,0.8571,,Scale productive route
sprint_mapfirst_ia_lake_george_devil_exact_text,Internet Archive,repository_full_text,NSW,low_yield,1,1,0,0,0,1.0000,,Keep as probe/discovery route only
sprint_mapfirst_gutenberg_hume_madame_midas_ballarat,Project Gutenberg,public_domain_ebook,VIC,low_yield,12,0,0,0,12,0.0000,route_cursor_exhausted,Keep as probe/discovery route only
sprint_mapfirst_gutenberg_hume_hansom_cab_melbourne,Project Gutenberg,public_domain_ebook,VIC,low_yield,2,0,0,0,2,0.0000,route_cursor_exhausted,Keep as probe/discovery route only
sprint_mapfirst_gutenberg_richardson_australia_felix_ballarat,Project Gutenberg,public_domain_ebook,VIC,low_yield,5,1,0,0,4,0.2000,,Keep as probe/discovery route only
sprint_mapfirst_gutenberg_lawson_while_billy_bourke,Project Gutenberg,public_domain_ebook,NSW,low_yield,2,1,0,0,1,0.5000,,Keep as probe/discovery route only
sprint_mapfirst_gutenberg_lawson_while_billy_mudgee,Project Gutenberg,public_domain_ebook,NSW,low_yield,0,0,0,0,0,,route_cursor_exhausted,Keep as probe/discovery route only
sprint_mapfirst_gutenberg_lawson_on_track_gulgong,Project Gutenberg,public_domain_ebook,NSW,low_yield,1,0,0,0,1,0.0000,route_cursor_exhausted,Keep as probe/discovery route only
sprint_mapfirst_ia_lawson_joe_wilson_bathurst,Internet Archive,repository_full_text,NSW,low_yield,0,0,0,0,0,,route_cursor_exhausted,Keep as probe/discovery route only
sprint_abc_placefirst_national_haunted_sites,Australian Broadcasting Corporation,institutional_media_page,AU,productive,64,16,17,41,58,0.2500,,Scale productive route
sprint_abc_placefirst_tasmania_port_arthur_hobart,Australian Broadcasting Corporation,institutional_media_page,TAS,productive,15,10,0,5,14,0.6667,,Scale productive route
sprint_abc_placefirst_sa_vic_gaol_asylum_theatre,Australian Broadcasting Corporation,institutional_media_page,SA/VIC,productive,36,6,0,37,49,0.1667,,Scale productive route
sprint_abc_placefirst_wa_act_qld_nsw_sites,Australian Broadcasting Corporation,institutional_media_page,WA/ACT/QLD/NSW,productive,52,11,9,15,49,0.2115,,Scale productive route
sprint_abc_placefirst_wa_modern_haunted_sites_02,Australian Broadcasting Corporation,institutional_media_page,WA,low_yield,44,3,2,28,92,0.0682,,Keep as probe/discovery route only
sprint_abc_placefirst_nt_modern_haunted_sites_02,Australian Broadcasting Corporation,institutional_media_page,NT,low_yield,48,1,0,26,189,0.0208,,Keep as probe/discovery route only
sprint_abc_placefirst_sa_tas_modern_sites_02,Australian Broadcasting Corporation,institutional_media_page,SA/TAS,low_yield,48,5,2,52,120,0.1042,,Keep as probe/discovery route only
sprint_abc_exact_discovered_wa_sa_tas_modern_03,Australian Broadcasting Corporation,institutional_media_page,WA/SA/TAS,productive,28,9,0,14,45,0.3214,,Scale productive route
sprint_abc_exact_discovered_national_modern_03,Australian Broadcasting Corporation,institutional_media_page,NSW/QLD/TAS/SA/WA/ACT/VIC,productive,40,18,0,6,36,0.4500,,Scale productive route
sprint_abc_exact_wa_tas_additional_modern_04,Australian Broadcasting Corporation,institutional_media_page,WA/TAS,low_yield,3,1,1,2,8,0.3333,,Keep as probe/discovery route only
sprint_abc_exact_act_vic_tas_known_sites_04,Australian Broadcasting Corporation,institutional_media_page,ACT/VIC/TAS,productive,16,16,2,1,5,1.0000,,Scale productive route
